,gene_symbol,GSM1531972,GSM1531973,GSM1531974,GSM1531975,GSM1531976,GSM1531977,GSM1531978,GSM1531979,GSM1531980,GSM1531981,GSM1531982,GSM1531983
ENSMUSG00000086322,E130218I03Rik,0.17062,0.09108,0.09659,0.2756,0.11276,0.11613,0.05785,0,0.16529,0.14393,0.05472,0.08268
ENSMUSG00000086327,Slfn5os,0.03863,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086330,1700007J10Rik,0.422,0.25415,0.28338,0.09407,0.28479,0.19221,0.15208,0.21314,0.12452,0.0591,0.30363,0.35289
ENSMUSG00000086348,1700017J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086349,Gm13497,0.14123,0.03649,0.04021,0.18686,0.12691,0.07697,0.09428,0,0,0.06215,0.06099,0.07015
ENSMUSG00000086355,4933428C19Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086359,9630013K17Rik,0.07051,0.07213,0.28163,0.12379,0.251,0.11383,0.12049,0.13963,0.24769,0.11761,0.27264,0.17493
ENSMUSG00000086363,A330102I10Rik,0,0.03607,0.0352,0.03095,0,0.07589,0,0.03491,0,0,0,0
ENSMUSG00000086365,4930593C16Rik,0.03526,0.07213,0.0352,0,0,0.03794,0,0,0,0.0294,0,0.03499
ENSMUSG00000086366,1700061J23Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086369,E330017L17Rik,0.03526,0,0,0,0.03137,0,0.03012,0,0.03096,0,0,0
ENSMUSG00000086370,Ftx,7.97672,7.05666,7.87883,7.67689,7.56652,7.40185,7.45546,6.19709,6.86474,6.96238,7.5434,7.49719
ENSMUSG00000086373,Gm11978,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086377,4930529C04Rik,0.1177,0.07906,0.07654,0,0.1033,0.04175,0.0999,0.07723,0.10182,0.06502,0.06702,0.116
ENSMUSG00000086379,1700026D11Rik,0.03526,0,0,0.03095,0.06275,0.03794,0.03012,0,0,0,0,0.06997
ENSMUSG00000086381,AV064505,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086386,Gm12108,0.10577,0.07213,0.10561,0.0619,0.03137,0.07589,0.09036,0.10472,0.03096,0.08821,0.06059,0.03499
ENSMUSG00000086391,1700042O10Rik,0.03526,0,0.0352,0.03095,0,0.03794,0,0.03491,0,0.11761,0.06059,0.03499
ENSMUSG00000086392,Mccc1os,0.55667,0.81795,0.73632,0.66475,0.5892,0.89824,0.71951,0.78349,0.83578,0.91103,0.59584,0.75759
ENSMUSG00000086396,4930555B11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086401,Gm15559,0.83222,0.77624,0.86196,0.82357,0.74233,0.87692,0.58425,0.60494,0.63367,0.55726,0.67754,0.89163
ENSMUSG00000086404,Gm6787,0.20135,0.23107,0.42245,0.21664,0.37649,0.2656,0.21788,0.22365,0.3231,0.38223,0.12117,0.2449
ENSMUSG00000086424,Gm15569,0.03526,0,0,0.03095,0,0,0,0,0.06192,0.0294,0,0
ENSMUSG00000086427,Hoxa11os,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086429,Gt(ROSA)26Sor,15.51079,13.72653,17.71662,16.39442,14.76533,17.70233,12.40126,13.84806,14.56264,14.22782,15.3969,14.09315
ENSMUSG00000086433,Rsf1os1,0,0.03607,0.0352,0,0,0,0,0,0,0,0.06059,0
ENSMUSG00000086437,Gm13021,1.0577,0.61312,0.59847,0.61896,0.81573,1.21417,0.57231,0.83778,0.77403,0.67626,0.8785,0.83966
ENSMUSG00000086438,Asb17os,9.13618,7.82494,9.28244,8.86129,8.3954,8.8517,8.28964,7.5137,5.96437,7.59594,7.25729,8.09166
ENSMUSG00000086439,Gm12069,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086446,Prkag2os1,0,0,0,0,0,0,0,0,0.09288,0,0.03029,0
ENSMUSG00000086449,9030204H09Rik,0,0.03607,0.07041,0.12379,0,0,0.03012,0,0.06192,0.0294,0.06059,0
ENSMUSG00000086454,Platr14,0.3809,0.36736,0.20323,0.4275,0.29743,0.43641,0.3216,0.5422,0.42768,0.22583,0.18876,0.28368
ENSMUSG00000086468,Etaa1os,0.35257,0.25246,0.66887,0.37138,0.36897,0.2656,0.4217,0.41889,0.30961,0.38223,0.33323,0.45482
ENSMUSG00000086483,8030443G20Rik,0,0.03607,0.0352,0,0.03137,0,0.09036,0,0.03096,0,0,0.03499
ENSMUSG00000086484,Nron,0.03526,0.03607,0.0352,0.0619,0.06275,0,0.03012,0.03491,0,0.0294,0,0.10496
ENSMUSG00000086494,2210417A02Rik,0.03526,0.14426,0.07041,0,0.06275,0.03794,0.06024,0.03491,0.15481,0.05881,0.24235,0.03499
